"SkillID","skills","Skill ID + label","Key","group","Plant doctors","Extension workers","Agri-dealer employees","Foundation","Practitioner","Advanced","level1","level2","level3","Description","Source","Mapped certification"
"S025","Apply irrigation techniques","S025 - Apply irrigation techniques","WATER MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner"," Advanced","Able to advise farmers the best management practices for irrigation management;Knowledge of Improved Irrigation Technologies and irrigation sceduling methods and tools","https://www.wyoextension.org/werawater/region8/PDFs/bmps_colorado/xcm173.pdf",
"S026","Apply leadership principles","S026 - Apply leadership principles","RELATIONSHIP MANAGEMENT","Plant doctors & Extension workers",1,1,0,0,0,1,,,"Advanced","Clearly communicate a vision for the wider team, and support this vision with strong processes and wider infrastructure. Work to create a strong working culture that fosters an environment of trust and high morale. Create standards and practices for strong and clear communication. Take time to connect with colleagues at all levels to create a culture of open communication and honesty. Set clear targets and provide support for all.","Five Basic Principles Of Highly Effective Leadership (forbes.com)",
"S027","Apply nutrition-sensitive extension approaches ","S027 - Apply nutrition-sensitive extension approaches ","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Ensure extension methods integrate nutrition specific goals and actions in the household and community level","GFRAS_NELK+_M16_Nutrition_%20Manual.pdf",
"S028","Apply youth inclusive approaches","S028 - Apply youth inclusive approaches","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced","Actively seek youth participation and enlist youth specialists in project design. Design activities that are specific to different age groups. Offer youth follow-on support and consider the entire supportive environment that influences youth decisions and behaviors, including family, community, institutions, and policies/norms. Apply a conflict-sensitive youth lens when integrating youth into agriculture and food systems affected by conflict","https://www.youthpower.org/resources/feed-future-project-design-guide-youth-inclusive-agriculture-and-food-systems-volume-i-project-design

https://www.youthpower.org/resources/feed-future-project-design-guide-youth-inclusive-agriculture-and-food-systems-volume-ii-implementation ",
"S029","Appreciate gender differences","S029 - Appreciate gender differences","GENDER","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced","Able to identify gender division of roles and access to resources of men and women farmers, in order to tailor agricultural advisory services to their specific needs and priorities.","https://www.fao.org/policy-support/tools-and-publications/resources-details/en/c/1207160/ ",
"S030","Assess weather parameters","S030 - Assess weather parameters","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,,,
"S031","Build networks","S031 - Build networks","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Build networks to exchange information, socialize, learn, and connect with peers on a regular, ongoing basis. Build community by creating new friendships and business partnerships and deepen existing ones. Provide education and mentoring opportunities. Target specific audiences with shared interests and concerns. Engage in peer-to-peer discussion to encourage innovative production and marketing strategies. Provide an effective way for agricultural professionals to reach and increase the success of sustainable agriculture producers.","Creating Farmer Networks: A Toolkit for Promoting Vibrant Farm Communities (sare.org)",
"S032","Build strategic partnerships","S032 - Build strategic partnerships","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced","Clearly define the scope and scale of goals and define the principles for a partnership, including common goals and process of development. Outline key milestones for achieving goals and identify potential partners who can enable these milestones to be reached, examining the motivations for potential partner participation. Share relevant information with partners and incorporate their feedback into planning documents and resources. Assess and define needs and gaps in resources between partners, adjusting proposals and allocating resource between partners accordingly. Implement and maintain ongoing communications between partners.","Building partnerships | World Agroforestry | Transforming Lives and Landscapes with Trees",
"S033","Calculate input ratios","S033 - Calculate input ratios","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced","Should be able to analyse inputs like labour and capital and see them as costs that are incurred in the production of agricultural produce. Also able to assess effect of inputs on soil, health of ecosystem and social acceptability towards them. Should be able to analyse physical (physiography, climate, soil, water), socioeconomic, political, institutional and organizational fac­tors.","https://www.yourarticlelibrary.com/agriculture/measurement-of-agricultural-productivity-and-efficiency/44426",
"S034","Calculate product costs","S034 - Calculate product costs","AGRICULTURAL MARKETING","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Able to record revenue, expense ,and returns for a single crop or livestock production process. Able to create enterprise budgets, to have both a detailed understanding of anenterprise’s production practices and an understanding of the basic budgeting framework.","Microsoft Word - Calculating production costs.docx (wisc.edu)",
"S035","Carefully display billboards and price tags","S035 - Carefully display billboards and price tags","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced","Able to strategically display promotional material to inform customers of products and their costs","https://agmark.org/services/#",
"S036","Carry high turn-over stocks","S036 - Carry high turn-over stocks","STOCK MANAGEMENT","Agri-dealer employees",0,0,1,0,1,0,,"Practitioner",,"Able to stock and clearly display products that sell fast in a given period of time and determine their profit margin","https://agmark.org/services/#",
"S037","Carry out financial planning","S037 - Carry out financial planning","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,"Manage finances to meet business goals and protect assets and the future of the business. This involves cashflow planning, identification of differences in planned versus actual spending and income and implications and solutions for the differences identified.","The importance of financial planning in the agri-market (grainsa.co.za)

https://www.daera-ni.gov.uk/news/financial-planning-farms",
"S038","Channels women’s needs to actors","S038 - Channels women’s needs to actors","GENDER","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Is able to channel information about women’s needs to other actors involved in technology design, use, and dissemination by engaging in discussions with agricultural researchers, input suppliers, and/or technology designers about the needs of women farmers for input into new technologies. Is able to identify opportunities for improving women’s access to and use of agricultural technologies.  Is able to identify specific actions to ensure the design of agricultural technologies meets women’s needs. Is able to identify specific actions to ensure the design of agricultural technologies meets women’s needs. Is able to facilitate relationships between women farmers and credit institutions, input suppliers, and other technology service providers.","https://ingenaes.illinois.edu/wp-content/uploads/INGENAES-2017_08-Nutrition-and-Gender-in-Extension-Competency-Framework.pdf",
"S039","Clearly display stock","S039 - Clearly display stock","STOCK MANAGEMENT","Agri-dealer employees",0,0,1,1,1,1,"Foundation"," Practitioner"," Advanced","Able to carefully design the shop layout taking into account visibilty and ease of reach of items, grouping similar items together, colour scheme that reflects natural light that brightens the premises","https://agmark.org/services/#",
"S040","Collaborate to implement","S040 - Collaborate to implement","RELATIONSHIP MANAGEMENT","Plant doctors & Extension workers",1,1,0,1,1,0,"Foundation"," Practitioner",,"Able to implement extension programs by coordinating activities and collaborating with development partners within their assigned area or communities by building teamwork, involving local stakeholders and negotiating when conflicts arise. ","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S041","Communicate disease risks by specific livestock","S041 - Communicate disease risks by specific livestock","ADVISORY SERVICES","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Is able to communicate the disease risks posed by specific livestock and practices in a given locale (if known), and promotes alternative actions and preventive measures. Is able to explain the interactions between livestock production, water quality, and infectious disease. Able to explain appropriate practices such as removal, storage of animal waste. Able to advocate for thoughtful location of livestock (e.g., removed from drinking water, children’s play areas).","https://ingenaes.illinois.edu/wp-content/uploads/INGENAES-2017_08-Nutrition-and-Gender-in-Extension-Competency-Framework.pdf",
"S042","Communicate effectively","S042 - Communicate effectively","COMMUNICATION SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Able to persuade people to change their methods of cultivation or adopt innovative practices or technologies. This is by effectively listening to what his/her audience says and use language and content that members of the target groups can understand","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S043","Communicate effectively with community leaders","S043 - Communicate effectively with community leaders","COMMUNICATION SKILLS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Positively interact with community leaders to enable them become skilled teachers in the community",,
"S044","Conduct organization's meetings","S044 - Conduct organization's meetings","PROJECT MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner"," Advanced","Recognise the requirement for a meeting and set a clear and focussed agenda to meet the meeting objective. Select appropriate meeting participants, facilitate effective participation and summarise meeting actions and outcomes.","Seven Steps to Running the Most Effective Meeting Possible (forbes.com)",
"S045","Conduct basic gender analysis ","S045 - Conduct basic gender analysis ","GENDER","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Is able to apply principles for integrating gender analysis by identifying and describing gendered roles and division of labor in a household, on the farm, in processing, marketing, and in the community at large. Is able to identify and describe gender-based constraints related to the design, use, or dissemination of agricultural technologies.","https://ingenaes.illinois.edu/wp-content/uploads/INGENAES-2017_08-Nutrition-and-Gender-in-Extension-Competency-Framework.pdf",
"S046","Conduct community forums","S046 - Conduct community forums","PARTICIPATORY APPROACHES","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Able to identify the specific needs of a community and find ways of addressing those needs through moderating and facilitiating discussions of community members that gather to deliberate issues and find solutions to the issues in a majority consensus manner","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S047","Conduct field demonstrations","S047 - Conduct field demonstrations","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation"," Practitioner"," Advanced","Able to use practical on-farm teaching to show step by step how to carry out a practice or an activity, benefits of adopting a new practice or both. The trainer should foster farmer participation in simple, clear cut demonstrations in a conducive learning environment . Able to carefully plan the demonstration taking into account the objective of the demonstration, the suitability of the method and the usefulness of the new idea to be demonstrated, a convenient time/date for farmers to learn about the new idea and an appropriate venue/location for demonstration","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S048","Conduct field visits","S048 - Conduct field visits","EXTENSION SERVICES","Plant doctors & Extension workers",1,1,0,1,1,0,"Foundation"," Practitioner",,"Able to conduct farm and home visits to either get acquainted and explain the basics of extension service, respond to some need expressed by a farm family, teach in a comfortable environment and build relationships with farmers, or to gather information and conduct needs assessment","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S049","Conduct focus group discussions","S049 - Conduct focus group discussions","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Able to facilitate discussions among a group of people often with some common background, interests, and goals focusing on an issue, product, or service to seek group members’ opinions, thoughts, and perceptions. Able to determine the purpose of the focus groups, develop a plan, identify the discussion questions and participants, guide discussions and prepare an analysis","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S050","Conduct market analysis","S050 - Conduct market analysis","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,0,0,1,,,"Advanced","Able to research on market trends, competitors, customer preferences, demand, factors influencing the market, major challenges and opportunities and make decisions on realistic business opportunities in the market.","GFRAS NELK ehttps://www.g-fras.org/en/knowledge/new-extensionist-learning-kit-nelk.html#module-11-agricultural-entrepreneurshipntrepreneurship",
"S051","Conduct needs assessment","S051 - Conduct needs assessment","MONITORING AND EVALUATION","Plant doctors & agri-dealer employees",1,0,1,0,1,0,,"Practitioner",,"Able to search out and identify needs and problems relevant to different stakeholders in a community, that establish gaps between where a community is and where they would like to be, in order to design innovations and programmings compatible with beneficiaries. Able to conduct a needs assessment by identifying a representative area of the section needs assessment is planned; planning the assessment by identifying who will help in the survey and visiting and speaking with farmers;  analysing and prioritizing problems using field observations and input from discussion; identifying problem causes and developpossible solutions with beneficiaries. ","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S052","Conduct participant observations","S052 - Conduct participant observations","MONITORING AND EVALUATION","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,"Able to gather information about behavioral actions and reactions through direct observation, interviews with key informants and participation in the activities being evaluated. These participant observations can either be direct and indirect, or a combination of the two and entail preparation (Identify sources of information related to the study issue, slecting the observation site and assembling tools for observation), entering the venue and building rapport with participants (Inform participants of the study objectives, methods, its benefits and costs, and their voluntary participation in the study), beginning the observation (Focus only on those aspects of the activity pertinent to the topic being studied) and exiting the location (check the data and make sure they are complete and organized, and that you have a back-up copy, acknowledge all and save the contact details of participants).","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S053","Conduct rural appraisals","S053 - Conduct rural appraisals","PARTICIPATORY APPROACHES","Plant doctors & Extension workers",1,1,0,0,1,1,,"Practitioner"," Advanced","Able to conduct rapid rural appraisals (RRA) by incorporating the knowledge and opinions of rural people in the planning and management of development projects and programs through multiple data collection techniques that are quick, flexible, and adaptive. Able to conduct Participatory Rural Appraisal (PRA) to interact with the target beneficiaries, understanding their needs and interest and learning from them by identifying and mobilizing intended beneficiary groups and evoking their participation in decision making, design, execution and evaluation of a program / project.","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S054","Conduct situational analysis","S054 - Conduct situational analysis","PROJECT MANAGEMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Able to identify where the program is needed; who the program beneficiaries are; what strengths, weaknesses, opportunities and threats exist in the community; and what ancillary factors are necessary for the program’s success. The situation analysis may involve consultation with key informants and experts and the review of secondary data from census or previous reports and it involves needs assessment and prioritization.","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S055","Conduct stakeholder analysis","S055 - Conduct stakeholder analysis","PROJECT MANAGEMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Able to identify relevant stakeholders and their interests, influence and impact on program design and implementation and outline a stakeholder participation strategy in order to capture multiple perspectives, promote team building and establish credibility. ","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S056","Conduct surveys","S056 - Conduct surveys","MONITORING AND EVALUATION","Plant doctors & Extension workers",1,1,0,1,0,0,"Foundation",,,"Able to use appropriate survey tools to collect data on participants' knowledge, attitude, skills and adoption practices that entail deploying survey questionnaires which may be administered through mail, online/Internet, telephone and in person. Able to increase the benefit and decrease the cost of participation to respondents in surveys by providing essential information about the survey: its objectives, how to answer the questions, etc., showing positive regard to respondents, saying thank you, giving tangible rewards -- for example, gift vouchers, ice cream coupons, etc, making the questionnaire interesting,  making the survey convenient to respond to, avoid talking down to respondents, making the questionnaire short and simple and easy to complete, putting personal and sensitive information toward the end of the survey","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S057","Connects content to be shared ","S057 - Connects content to be shared ","COMMUNICATION SKILLS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Connects content to be shared to community members’ experiences and needs. Describes a personal learning that was relevant and examined what made it so. Decide on concrete actions to connect key content to people’s personal needs and facilitates a community discussion connecting a key piece of content to an expressed community need in a way that includes broad community participation.","https://www.g-fras.org/en/training-ressources/item/1026-what-every-extension-worker-should-know-core-competency-handbook.html",
"S058","Consult with experts","S058 - Consult with experts","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,,,
"S059","Correctly interpret records","S059 - Correctly interpret records","RECORD MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Apply the appropriate data interpretation method to the data available. Apply a critical perspective and reflect on any known or unconscious biases that may influence the interpretation of the records.","What Is Data Interpretation? Meaning, Methods & Examples (datapine.com)",
