"skills","Key","group","Plant doctors","Extension workers","Agri-dealer employees","Foundation","Practitioner","Advanced","level1","level2","level3","Description"
"Encourage teamwork and collaboration","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Engage and retain youth","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced","Identify opportunities in encouraging youth participation in agriculture"
"Establish & monitor organization's objectives","PROJECT MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced",
"Establish a model village","PROJECT MANAGEMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Set up and operationalize structures to develop a model village through stakeholder identification, identifying target villages, understanding situation, monitoring and evaluation"
"Estimate capital for nutrition value chains ","AGRICULTURAL MARKETING","Plant doctors & Extension workers",1,1,0,0,1,1,,"Practitioner","Advanced","Estimates capital required for investments in nutrition-sensitive value chains "
"Explain agrochemical application practices","CHEMICAL USE","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced","Explains agrochemical preparation and application practices, timing of application, and consumption of treated produce "
"Explain integrated pest management options","CHEMICAL USE","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Explain the viable alternatives to spraying or agrochemical use, the different types of agrochemical products and their safety classifications and which products are appropriate for what use"
"Explain nutritional value of specific foods ","NUTRITION","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Facilitate access to credit/input supply","INPUT SUPPLY","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced",
"Facilitate change","SOFT SKILLS","Plant doctors & Extension workers",1,1,0,0,1,1,,"Practitioner","Advanced",
"Facilitate meetings","SOFT SKILLS","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Forecast cash flow","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced","Record expenses and income as they occur in the business"
"Foster open communication environment","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Give good customer service","AGRICULTURAL MARKETING","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Handle chemicals safely","CHEMICAL USE","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Handle complaints promptly","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced","Sort out complaints on time without avoiding them"
"Identifies community's power dynamics","PARTICIPATORY APPROACHES","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced",
"Identifies formal/ informal groups","PARTICIPATORY APPROACHES","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Identify which groups have written or unwritten rules; negotiates with leaders of diverse groups to establish good working relationships "
"Identifies opportunities for women’s access to technologies ","GENDER","Plant doctors & Extension workers",1,1,0,0,1,1,,"Practitioner","Advanced","Identify specific actions to improve women’s access to and use of agricultural technologies "
"Identify and resolve basic problems","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Identify cultural implications in communication","EXTENSION SERVICES","Plant doctors & agri-dealer employees",1,0,1,0,1,0,,"Practitioner",,
"Identify different seed/fertilizer types","INPUT SUPPLY","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Identify diversity of foods ","NUTRITION","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Names food groups  and constituent local foods for each group and describes specific contribution foods make to health and growth"
"Identify extension roles to improve technologies' access ","GENDER","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Identify the role of extension and advisory services in improving women’s access to and use of agricultural technologies. "
"Identify foods meeting nutrition needs","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Identify fruits, crops, meat/fish that can be grown/raised in the local context that can meet specific nutrient deficiencies"
"Identify markets for nutritious products  ","AGRICULTURAL MARKETING","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Identify marketing opportunities for nutritious products and promotes marketing of products which can improve nutrition through diversified diets "
"Identify men/women's communication mechanisms ","COMMUNICATION SKILLS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Identify men/women's value chain challenges ","GENDER","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Identify challenges facing women or men to participating in or benefiting from value chain development activities based on their different roles and responses"
"Identify men/women's value chains opportunities ","GENDER","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Map actors and their roles along a value chain and provide information to both men and women farmers and rural entrepreneurs that enhance their abilities to join and participate in value chains"
"Identify problems","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Identify problems from wrong labor practices ","GENDER","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Identifies health problems that result from inappropriate labor practices for perinatal & lactating women"
"Identify purpose of working capital","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced","Determine how to breakdown capital for various uses to meet different business demands"
"Identify seed production processes","INPUT SUPPLY","Agri-dealer employees",0,0,1,0,1,1,,"Practitioner","Advanced","Describes stages and techniques used to produce viable seed from pre-planting to post harvest"
"Identify sources of inputs","INPUT SUPPLY","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,
"Identify symptoms","CROP DIAGNOSTICS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Identify types of business records","RECORD MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Identify viable business models","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,0,1,1,,"Practitioner","Advanced","Identify appropriate business patterns that create and maintain productive agribusinesses"
"Identify where individuals fit in communities ","PARTICIPATORY APPROACHES","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Implement extension campaigns","PROJECT MANAGEMENT","Plant doctors & Extension workers",1,1,0,1,1,0,"Foundation","Practitioner",,
"Implement extension service delivery","PROJECT MANAGEMENT","Plant doctors & Extension workers",1,1,0,0,0,1,,,"Advanced",
"Implement gender-transformative approaches","GENDER","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Identify and challenge underlying gender norms that inhibit women’s equitable participation and ability to benefit from agricultural activities "
"Implement marketing activities","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,0,1,1,,"Practitioner","Advanced","Execute activities that enhance product development, promotion, sales and cutomer service"
"Improve men/women's value chain participation","VALUE CHAIN DEVELOPMENT","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Promotes opportunities to improve participation in agricultural value chain for both men and women"
"Increase sales over time","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,0,1,1,,"Practitioner","Advanced","Use appropriate ways to boost business sales such as improve selling skills, treat customers ethically, improve promotion methods"
"Initiate social networks","RELATIONSHIP MANAGEMENT","Plant doctors & agri-dealer employees",1,0,1,0,1,0,,"Practitioner",,
"Interpret current farmer pratices","EXTENSION SERVICES","Plant doctors & Extension workers",1,1,0,0,1,0,,"Practitioner",,
"Keep abreast with new ICTs","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Know product details","INPUT SUPPLY","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced","Able to describe what you sell, its quality and benefit to customers"
"Link farmers to markets","VALUE CHAIN DEVELOPMENT","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"List customer requirements","AGRICULTURAL MARKETING","Agri-dealer employees",0,0,1,0,1,1,,"Practitioner","Advanced","Find out about your customer, their tastes, needs and budget"
"Lists farm products for dietary diversity","NUTRITION","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Provide examples of farm products (cultivated and wild plants, animal-source foods, and fish) which contribute to improved dietary diversity"
"Maintain accurate records","RECORD MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,
"Maintain appropriate stock levels","STOCK MANAGEMENT","Agri-dealer employees",0,0,1,0,1,0,,"Practitioner",,"Determine appropriate levels of stocking for different items driven by storage space, market availability, stock turn-over"
"Maintain clean business premises","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,1,0,0,"Foundation",,,
"Make business decisions","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,0,1,1,,"Practitioner","Advanced",
"Make convincing presentations","COMMUNICATION SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Deliver effective presentations through knowing your audience, preparation, use of non-verbal cues among others"
"Manage creditors / debtors' records","RECORD MANAGEMENT","Agri-dealer employees",0,0,1,0,1,0,,"Practitioner",,
"Manage farmer relationship","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Manage groups / teamwork","RELATIONSHIP MANAGEMENT","Plant doctors & Extension workers",1,1,0,0,1,0,,"Practitioner",,"Use diverse strategies to nurture and strengthen teamwork"
"Manage nurseries","ADVISORY SERVICES","Extension workers & agri-dealer employees",0,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Manage relationship with clients","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Manage relationship with input suppliers","INPUT SUPPLY","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced",
"Manage relationships with financial institutions","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced",
"Manage relationships with government","RELATIONSHIP MANAGEMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,0,1,,,"Advanced",
"Manage risks / uncertainties / change","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Manage stock records","STOCK MANAGEMENT","Agri-dealer employees",0,0,1,1,0,0,"Foundation",,,
"Manage time","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Manage working capital","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,"Handling and maintaining capital to sustain business operations"
"Minimize post- harvest losses ","CROP MANAGEMENT","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Describe technologies that minimize post- harvest losses  and describes the basic causes of post- harvest losses at during harvest, storage, and preparation at home "
"Mobilize farmers","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Mobilize resources","AGRIBUSINESS ADMINISTRATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced","Pool resources from various sources and use them on those that need them the most"
"Monitor cash flows","AGRIBUSINESS ADMINISTRATION","Agri-dealer employees",0,0,1,0,1,1,,"Practitioner","Advanced","Track cash coming into and going out of the business"
"Monitor performance / progress","MONITORING AND EVALUATION","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,1,,"Practitioner","Advanced",
"Monitor stock turnover","STOCK MANAGEMENT","Agri-dealer employees",0,0,1,1,1,1,"Foundation","Practitioner","Advanced","Track how much is expected to sell until purchase of next stock and consider fluctuations due to demand of items"
"Operate agricultural machinery","ADVISORY SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,
"Operate in transparency/ accountability","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,
"Organize farmer field schools","ADVISORY SERVICES","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Use field schools to aid farmer learning within their own environment by identifying topics, site and participants and by training facilitators"
"Organize field days","EXTENSION SERVICES","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,"Organize daylong events where farmers showcase new agricultural practices, technologies and products adopted"
"Orient farmer-based organizations ","PARTICIPATORY APPROACHES","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Develop examples of how Farmer Based Organizations can be structured and operate to respond to member needs"
"Persuade for change","SOFT SKILLS","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,1,1,"Foundation","Practitioner","Advanced",
"Plans access to nutritious foods ","NUTRITION","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Engage communities in planning for better food access to nutritious foods"
"Prioritize needs / problems","SOFT SKILLS","Plant doctors & Extension workers",1,1,0,0,0,1,,,"Advanced","Ascribe importance to each need and determine feasibility of meeting the need"
"Promote alternatives on gender-related tasks ","GENDER","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","Promote alternative practices on biological limitations and gender-related tasks "
"Promote diversity of foods ","NUTRITION","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Promote farm entrepreneurship","VALUE CHAIN DEVELOPMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,0,1,0,,"Practitioner",,
"Promote mechanisms to benefit from value chains ","VALUE CHAIN DEVELOPMENT","Extension workers",0,1,0,0,1,1,,"Practitioner","Advanced","List specific actions to improve how men and women benefit from agricultural value chains"
"Promote practices that improve soil health","CROP MANAGEMENT","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Describe practices that contribute to good quality soil and describes characteristics of good quality soil "
"Promotes gender-responsive meetings ","GENDER","Extension workers",0,1,0,1,1,1,"Foundation","Practitioner","Advanced","Identify ways to encourage participation and leadership by those who normally are absent or silent, discuss with community and colleagues how to make meetings accessible to everyone"
"Promotes participants' safety","SOFT SKILLS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Properly store inputs / stock","STOCK MANAGEMENT","Agri-dealer employees",0,0,1,1,0,0,"Foundation",,,
"Properly use PPEs","CHEMICAL USE","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced",
"Provide market information","VALUE CHAIN DEVELOPMENT","ALL (Plant doctors & Extension workers & Agri-dealer employees)",1,1,1,1,0,0,"Foundation",,,
"Provides frequent and substantive praise","SOFT SKILLS","Plant doctors & Extension workers",1,1,0,1,1,1,"Foundation","Practitioner","Advanced","Explain the importance of receiving affirmation in work and life "
